locality,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Waterloo,APARTMENT,APARTMENT,530000,residential_sale,2,,None,No,No,Yes,15,No,,117,,,No,None
Waterloo,APARTMENT,APARTMENT,297000,residential_sale,1,,None,No,No,Yes,7,No,,58,,,No,None
Anderlecht,APARTMENT,APARTMENT,249000,residential_sale,3,,None,No,No,Yes,7,No,,105,,,No,None
Gavere,HOUSE,HOUSE,352500,residential_sale,3,23,Yes,No,No,Yes,12,Yes,35,144,191,3,No,AS_NEW
Ixelles,HOUSE,HOUSE,899000,residential_sale,4,30,No,No,No,No,,Yes,80,282,163,2,No,TO_BE_DONE_UP
Gent,APARTMENT,APARTMENT,545000,residential_sale,4,68,No,No,No,No,,No,,182,,2,No,GOOD
Beveren,APARTMENT,APARTMENT,340000,residential_sale,3,45,Yes,No,No,Yes,8,No,,132,,2,No,AS_NEW
Halle,HOUSE,HOUSE,299000,residential_sale,3,,None,No,Yes,Yes,,No,,160,,,No,None
Ronse,HOUSE,HOUSE,1150000,residential_sale,12,,None,No,Yes,Yes,,No,,750,,,No,None
Woluwe-Saint-Lambert,APARTMENT,APARTMENT,449000,residential_sale,3,,None,No,No,No,,No,,140,,,No,None
Waregem,HOUSE,HOUSE,320000,residential_sale,3,,None,No,No,No,,No,,168,,,No,None
Hoboken,APARTMENT,APARTMENT,239000,residential_sale,3,,None,No,Yes,Yes,26,No,,100,,,No,None
Bruxelles,APARTMENT,APARTMENT,525000,residential_sale,3,,None,No,No,Yes,15,No,,132,,,No,None
Arlon,HOUSE,HOUSE,350000,residential_sale,5,,None,No,No,Yes,9,Yes,291,234,,,No,None
De Panne,APARTMENT,APARTMENT,175000,residential_sale,1,,None,Yes,No,No,,No,,48,,,No,None
Rixensart,HOUSE,HOUSE,975000,residential_sale,5,27,No,No,No,Yes,,No,,300,1228,4,Yes,JUST_RENOVATED
Gooik,HOUSE,HOUSE,399000,residential_sale,3,32,No,No,Yes,Yes,24,No,,180,1150,4,No,TO_BE_DONE_UP
Saint-Ghislain,APARTMENT,APARTMENT,240000,residential_sale,2,,None,No,No,Yes,30,No,,97,,,No,None
Bruxelles,APARTMENT,APARTMENT,515000,residential_sale,3,,None,No,No,Yes,15,No,,132,,,No,None
JEHAY,HOUSE,HOUSE,295000,residential_sale,2,32,Yes,No,Yes,Yes,100,Yes,1700,130,2041,4,No,AS_NEW
Braine-l'Alleud,APARTMENT,APARTMENT,239000,residential_sale,3,38,No,No,No,Yes,2,No,,115,,2,No,TO_RENOVATE
Halle,APARTMENT,APARTMENT,349000,residential_sale,2,,None,No,Yes,Yes,24,No,,125,,,No,None
Vilvoorde,APARTMENT,APARTMENT,565000,residential_sale,3,,None,No,Yes,Yes,38,No,,230,,,No,None
Evere,APARTMENT,APARTMENT,395000,residential_sale,2,,None,No,No,Yes,7,No,,99,,,No,None
Bekkevoort,HOUSE,HOUSE,615000,residential_sale,6,,None,No,Yes,No,,Yes,,260,,,No,None
Boom,APARTMENT,APARTMENT,229000,residential_sale,2,,None,No,Yes,Yes,3,No,,82,,,No,None
Uccle,APARTMENT,APARTMENT,485000,residential_sale,2,,None,No,No,Yes,17,No,,108,,,No,None
CLAVIER-STATION,HOUSE,HOUSE,299000,residential_sale,4,20,No,No,Yes,Yes,60,Yes,547,262,739,4,No,GOOD
VOSSELARE,HOUSE,HOUSE,265000,residential_sale,3,20,No,No,Yes,No,,Yes,650,145,736,4,No,TO_RESTORE
Saint-Ghislain,APARTMENT,APARTMENT,215000,residential_sale,2,,None,No,No,Yes,4,No,,89,,,No,None
Izegem,HOUSE,HOUSE,145000,residential_sale,2,,None,No,No,Yes,,No,,,,,No,None
Uccle,APARTMENT,APARTMENT,470000,residential_sale,3,,None,No,No,Yes,7,No,,115,,,No,None
Herent,APARTMENT,APARTMENT,355000,residential_sale,3,,None,No,Yes,Yes,,No,,124,,,No,None
Bruxelles,HOUSE,HOUSE,250000,residential_sale,4,,None,No,No,No,,No,,75,,,No,None
Gooik,HOUSE,HOUSE,459000,residential_sale,3,21,No,No,Yes,Yes,20,Yes,,322,861,4,No,GOOD
Rumbeke,HOUSE,HOUSE,415000,residential_sale,4,,None,No,No,Yes,,Yes,,277,,,No,None
Kruibeke,APARTMENT,APARTMENT,219000,residential_sale,1,,None,No,No,Yes,2,No,,75,,,No,None
Sint-Niklaas,HOUSE,HOUSE,289000,residential_sale,3,,None,No,No,No,,No,,131,,,No,None
Hemiksem,APARTMENT,APARTMENT,269000,residential_sale,3,,None,No,Yes,Yes,4,No,,108,,,No,None
Izegem,HOUSE,HOUSE,155000,residential_sale,2,,None,No,No,No,,No,,122,,,No,None
Beveren-Leie,HOUSE,HOUSE,290000,residential_sale,3,,None,No,No,No,,Yes,,320,,,No,None
Ganshoren,APARTMENT,APARTMENT,169000,residential_sale,1,,None,No,No,Yes,2,No,,57,,,No,None
